id,audio_filepath,duration,class
id_6nazjwygdl,id_6nazjwygdl.wav,1.984,left
id_jpwl97yilf,id_jpwl97yilf.wav,2.027,down
id_9d131fb32p,id_9d131fb32p.wav,2.274,go
id_kat2oty4s0,id_kat2oty4s0.wav,2.176,down
id_g3hvae3jbe,id_g3hvae3jbe.wav,1.634,down
id_dswgur9vkg,id_dswgur9vkg.wav,2.074,go
id_fpa0cqt5t8,id_fpa0cqt5t8.wav,1.238,right
id_v2ds7nef9d,id_v2ds7nef9d.wav,1.899,left
id_uuux6d7cwp,id_uuux6d7cwp.wav,1.984,left
id_pyu7ch7t64,id_pyu7ch7t64.wav,1.554,up
id_xpfs3wr3mk,id_xpfs3wr3mk.wav,1.984,left
id_cnrkal90lz,id_cnrkal90lz.wav,1.674,yes
id_mg1y070ffq,id_mg1y070ffq.wav,2.274,down
id_6gzt3ujfnd,id_6gzt3ujfnd.wav,1.664,yes
id_84ug3bx5kl,id_84ug3bx5kl.wav,1.984,left
id_fscrq0hb4t,id_fscrq0hb4t.wav,1.358,down
id_xc7rs7k1rs,id_xc7rs7k1rs.wav,1.078,no
id_ugesu01k1q,id_ugesu01k1q.wav,2.069,no
id_20y9y85csz,id_20y9y85csz.wav,1.358,down
id_7oceihot3l,id_7oceihot3l.wav,1.654,right
id_le7254d4ch,id_le7254d4ch.wav,2.027,down
id_0cxsawokh3,id_0cxsawokh3.wav,1.914,stop
id_rkhel834rg,id_rkhel834rg.wav,2.074,go
id_2z2xkakm4x,id_2z2xkakm4x.wav,2.274,down
id_6jxzqvpeqe,id_6jxzqvpeqe.wav,1.974,left
id_c6u7ypppq4,id_c6u7ypppq4.wav,1.278,go
id_diypmeuq7o,id_diypmeuq7o.wav,2.378,yes
id_ppzhvjntnh,id_ppzhvjntnh.wav,2.176,down
id_ppc87ktzvp,id_ppc87ktzvp.wav,2.074,no
id_qcnddktgt5,id_qcnddktgt5.wav,2.667,go
id_q736fww61k,id_q736fww61k.wav,2.112,stop
id_df00ox5q5c,id_df00ox5q5c.wav,2.261,right
id_dorbabzz7n,id_dorbabzz7n.wav,1.38,go
id_6302f52oj1,id_6302f52oj1.wav,2.998,left
id_d1d2n1nqjn,id_d1d2n1nqjn.wav,1.834,up
id_4tohs3ov0h,id_4tohs3ov0h.wav,2.667,go
id_x7txm6vzhe,id_x7txm6vzhe.wav,1.494,no
id_px2ybjnibk,id_px2ybjnibk.wav,1.934,right
id_5srt7svh62,id_5srt7svh62.wav,1.494,no
id_ba5owadsjn,id_ba5owadsjn.wav,1.278,go
id_dzhe94v8zt,id_dzhe94v8zt.wav,2.133,yes
id_hcisxsoodt,id_hcisxsoodt.wav,1.238,right
id_qrzkhby2zu,id_qrzkhby2zu.wav,2.133,yes
id_nsc6y063yz,id_nsc6y063yz.wav,1.138,stop
id_4zznw07sv8,id_4zznw07sv8.wav,1.984,up
id_ayom7d5ma5,id_ayom7d5ma5.wav,1.899,left
id_mvxnp6semn,id_mvxnp6semn.wav,2.274,down
id_b9bsviqic5,id_b9bsviqic5.wav,2.118,go
id_7k65xuytis,id_7k65xuytis.wav,1.899,left
id_rmgk85rozm,id_rmgk85rozm.wav,1.278,go
id_ev2gxwtcun,id_ev2gxwtcun.wav,2.667,go
id_uw0u6oylft,id_uw0u6oylft.wav,1.38,go
id_71dgjf4rq2,id_71dgjf4rq2.wav,1.984,up
id_ndtctwtjy3,id_ndtctwtjy3.wav,1.664,yes
id_iezb1i7b2d,id_iezb1i7b2d.wav,1.984,left
id_7vqh505m4k,id_7vqh505m4k.wav,2.074,go
id_qb8v4o26z2,id_qb8v4o26z2.wav,2.118,go
id_ish10ght53,id_ish10ght53.wav,2.261,right
id_3gosj55k6y,id_3gosj55k6y.wav,1.674,yes
id_hojjw04j7a,id_hojjw04j7a.wav,1.4935,no
id_rrtl1cvmsx,id_rrtl1cvmsx.wav,1.238,right
id_n8qio5pqbq,id_n8qio5pqbq.wav,2.261,right
id_cwzud3bqkf,id_cwzud3bqkf.wav,1.078,up
id_upkfns86ox,id_upkfns86ox.wav,1.984,up
id_60qhb822b2,id_60qhb822b2.wav,2.3466666666666667,up
id_uo6fq6g9x2,id_uo6fq6g9x2.wav,1.358,down
id_dojjf4o4mf,id_dojjf4o4mf.wav,1.358,down
id_7r0ktas4du,id_7r0ktas4du.wav,2.074,no
id_6s3sci6y9p,id_6s3sci6y9p.wav,1.984,up
id_yo3bajjato,id_yo3bajjato.wav,2.261,right
id_d6bn30gsnx,id_d6bn30gsnx.wav,1.792,right
id_3w3ekp9c8r,id_3w3ekp9c8r.wav,2.378,yes
id_8yvjjc141a,id_8yvjjc141a.wav,1.664,no
id_fttf1lqgx5,id_fttf1lqgx5.wav,1.899,left
id_1tawa1rpmj,id_1tawa1rpmj.wav,1.078,up
id_mk5cdjqeot,id_mk5cdjqeot.wav,1.338,left
id_4wvzp8l8rv,id_4wvzp8l8rv.wav,1.494,no
